No.	Category	Korean	English
416	설교 표현	강조하다	Emphasize
417	설교 표현	설명하다	Explain
418	설교 표현	선포하다	Proclaim
419	설교 표현	권면하다	Exhort / Encourage
420	설교 표현	도전하다	Challenge
421	설교 표현	초청하다	Invite
422	설교 표현	결단	Commitment / Decision
423	설교 표현	결단하다	Commit / Decide
424	설교 표현	순종의 결단	Commitment to Obedience
425	설교 표현	삶의 적용	Life Application
426	설교 표현	실천	Practice
427	설교 표현	실천하다	Put into Practice
428	설교 표현	묵상	Meditation
429	설교 표현	묵상하다	Meditate
430	설교 표현	나누다(말씀)	Share
431	설교 표현	선포	Proclamation
432	설교 표현	증거	Evidence / Testimony
433	설교 표현	증거하다	Bear Witness
434	설교 표현	확신	Conviction
435	설교 표현	결론	Conclusion
436	설교 표현	요약	Summary
437	설교 표현	핵심 메시지	Main Message
438	설교 표현	도입	Introduction
439	설교 표현	마무리	Closing
440	설교 표현	축복의 말씀	Words of Blessing
441	설교 표현	권면의 말씀	Words of Exhortation
442	설교 표현	초청의 말씀	Invitation
443	설교 표현	기도로 마치다	Close in Prayer
444	설교 표현	함께 기도하다	Pray Together
445	설교 표현	기도 제목	Prayer Point
446	설교 표현	아멘으로 화답하다	Respond with "Amen"
447	설교 표현	삶을 돌아보다	Reflect on Your Life
448	설교 표현	마음을 열다	Open Your Heart
449	설교 표현	믿음으로 반응하다	Respond in Faith
450	설교 표현	결단의 시간	Time of Commitment
451	청년부 · 삶의 적용 · 관계	삶	Life
452	청년부 · 삶의 적용 · 관계	인생	Life Journey
453	청년부 · 삶의 적용 · 관계	일상	Daily Life
454	청년부 · 삶의 적용 · 관계	습관	Habit
455	청년부 · 삶의 적용 · 관계	선택	Choice
456	청년부 · 삶의 적용 · 관계	결정	Decision
457	청년부 · 삶의 적용 · 관계	자유의지	Free Will
458	청년부 · 삶의 적용 · 관계	책임	Responsibility
459	청년부 · 삶의 적용 · 관계	사명	Calling
460	청년부 · 삶의 적용 · 관계	비전	Vision
461	청년부 · 삶의 적용 · 관계	꿈	Dream
462	청년부 · 삶의 적용 · 관계	목적	Purpose
463	청년부 · 삶의 적용 · 관계	계획	Plan
464	청년부 · 삶의 적용 · 관계	하나님의 계획	God's Plan
465	청년부 · 삶의 적용 · 관계	하나님의 뜻	God's Will
466	청년부 · 삶의 적용 · 관계	기다림	Waiting
467	청년부 · 삶의 적용 · 관계	인도하심	Guidance
468	청년부 · 삶의 적용 · 관계	믿음의 여정	Journey of Faith
469	청년부 · 삶의 적용 · 관계	고난	Suffering
470	청년부 · 삶의 적용 · 관계	시련	Trial
471	청년부 · 삶의 적용 · 관계	감사	Thankfulness
472	청년부 · 삶의 적용 · 관계	기쁨	Joy
473	청년부 · 삶의 적용 · 관계	평안	Peace
474	청년부 · 삶의 적용 · 관계	위로	Comfort
475	청년부 · 삶의 적용 · 관계	소망	Hope
476	청년부 · 삶의 적용 · 관계	회복	Restoration
477	청년부 · 삶의 적용 · 관계	치유	Healing
478	청년부 · 삶의 적용 · 관계	용기	Courage
479	청년부 · 삶의 적용 · 관계	두려움	Fear
480	청년부 · 삶의 적용 · 관계	염려	Worry / Anxiety
481	청년부 · 삶의 적용 · 관계	불안	Anxiety
482	청년부 · 삶의 적용 · 관계	관계	Relationship
483	청년부 · 삶의 적용 · 관계	가정	Family
484	청년부 · 삶의 적용 · 관계	부모	Parents
485	청년부 · 삶의 적용 · 관계	형제자매	Brothers and Sisters
486	청년부 · 삶의 적용 · 관계	친구	Friend
487	청년부 · 삶의 적용 · 관계	이웃	Neighbor
488	청년부 · 삶의 적용 · 관계	사랑하다	Love
489	청년부 · 삶의 적용 · 관계	용서하다	Forgive
490	청년부 · 삶의 적용 · 관계	화해	Reconciliation
491	청년부 · 삶의 적용 · 관계	섬김	Service
492	청년부 · 삶의 적용 · 관계	나눔	Sharing
493	청년부 · 삶의 적용 · 관계	격려	Encouragement
494	청년부 · 삶의 적용 · 관계	위로하다	Comfort
495	청년부 · 삶의 적용 · 관계	축복하다	Bless
496	청년부 · 삶의 적용 · 관계	감사하다	Give Thanks
497	청년부 · 삶의 적용 · 관계	기도 부탁	Prayer Request
498	청년부 · 삶의 적용 · 관계	간증	Testimony
499	청년부 · 삶의 적용 · 관계	아멘	Amen
500	청년부 · 삶의 적용 · 관계	하나님께 영광	Glory to God
